ID,Area
93_1,6248
93_2,12210
93_3,10240
93_4,11224
93_5,8625
93_6,4664
93_7,8374
93_8,11020
93_9,7250
93_10,3149
93_11,6528
93_12,6565
93_13,7410
93_14,12528
93_15,9116
93_16,7526
93_17,12936
93_18,7224
93_19,7030
93_20,8165
93_21,13328
93_22,4554
93_23,3180
93_24,5292
93_25,2360
8_1,31878
8_2,28776
8_3,9680
8_4,40425
8_5,25440
8_6,17661
45_1,10440
45_2,9702
45_3,10168
45_4,9775
45_5,16740
45_6,9288
45_7,11872
45_8,5609
45_9,14508
45_10,8125
45_11,5082
45_12,9646
45_13,13130
45_14,8848
45_15,4040
45_16,15960
45_17,3528
45_18,5124
45_19,8295
45_20,6519
45_21,8024
45_22,2492
45_23,11881
45_24,2784
78_1,9030
78_2,7844
78_3,9288
78_4,6808
78_5,7290
78_6,7029
78_7,8112
78_8,6608
78_9,10848
78_10,4640
78_11,5848
78_12,4600
78_13,4095
78_14,7220
78_15,3600
78_16,2451
78_17,5508
78_18,12810
78_19,6080
78_20,6636
78_21,2548
78_22,3816
78_23,1887
78_24,5500
75_1,4380
75_2,3808
75_3,2058
75_4,2754
75_5,2544
75_6,4422
75_7,2451
75_8,3450
75_9,1632
75_10,2684
75_11,3645
75_12,2961
75_13,2244
75_14,4897
75_15,2898
104_1,13192
104_2,5850
104_3,10736
104_4,10528
104_5,14820
104_6,12546
104_7,10005
104_8,6975
104_9,11234
104_10,3584
104_11,4636
104_12,15120
104_13,8961
104_14,3843
104_15,6532
104_16,13356
104_17,8010
104_18,9374
104_19,9200
104_20,19182
104_21,3480
104_22,3245
80_1,5330
80_2,4272
80_3,5757
80_4,2544
80_5,3900
80_6,3519
80_7,4118
80_8,3504
80_9,3196
80_10,1978
80_11,3120
80_12,3162
80_13,3572
80_14,3150
80_15,3283
80_16,2552
80_17,3249
80_18,2035
80_19,3575
80_20,2162
105_1,14454
105_2,17236
105_3,16383
105_4,21780
105_5,9660
105_6,15207
105_7,22765
105_8,15200
105_9,17400
105_10,22400
105_11,11136
105_12,4030
105_13,12992
105_14,13095
105_15,11322
105_16,9396
105_17,7821
105_18,7068
113_1,4899
