ID,Area
16_1,6215
16_2,3772
16_3,4841
16_4,4050
16_5,4180
16_6,6386
16_7,5029
16_8,4515
16_9,5859
16_10,3071
16_11,3560
16_12,3432
16_13,2448
16_14,5566
16_15,5989
16_16,2686
16_17,3588
16_18,5600
16_19,5148
111_1,3591
111_2,4270
111_3,3717
111_4,3360
111_5,3249
111_6,3416
111_7,3660
111_8,2652
111_9,2989
111_10,3770
111_11,1394
111_12,4004
111_13,2397
7_1,39204
7_2,38048
34_1,4060
34_2,3024
34_3,3900
34_4,4941
34_5,3321
34_6,3700
34_7,3888
34_8,2464
34_9,3570
34_10,4770
34_11,5694
34_12,3276
34_13,2774
34_14,2695
34_15,3780
34_16,2254
34_17,2747
34_18,3648
34_19,2622
108_1,4020
108_2,4216
108_3,4032
108_4,2832
108_5,3080
108_6,4095
108_7,3420
108_8,3420
108_9,3135
108_10,2565
108_11,1924
108_12,3024
108_13,1849
108_14,2958
18_1,4860
18_2,3360
18_3,3196
18_4,3162
18_5,3549
18_6,4095
18_7,3105
18_8,2686
18_9,2240
18_10,3154
18_11,3002
18_12,3395
18_13,3036
67_1,5720
67_2,7344
67_3,6565
67_4,6090
67_5,4758
67_6,7546
67_7,9196
67_8,9282
67_9,7035
67_10,8085
67_11,6003
67_12,4347
67_13,3264
67_14,8232
67_15,5772
67_16,1599
67_17,3726
103_1,17955
103_2,11904
103_3,13818
103_4,13974
103_5,12615
103_6,10700
103_7,17640
103_8,12420
103_9,16695
103_10,11726
103_11,14040
103_12,9396
103_13,8500
103_14,4356
103_15,5800
103_16,5616
103_17,10961
103_18,4002
35_1,6650
35_2,6760
35_3,7440
35_4,5041
35_5,10540
35_6,7280
35_7,8938
35_8,8073
35_9,7128
35_10,6525
35_11,3136
35_12,3102
35_13,2812
35_14,11583
35_15,7161
35_16,10246
35_17,7560
35_18,4872
35_19,8712
35_20,9933
35_21,6004
