ID,Area
93_1,5896
93_2,10033
93_3,7192
93_4,12317
93_5,11102
93_6,4664
93_7,8165
93_8,8216
93_9,7056
93_10,11020
93_11,6426
93_12,9072
93_13,12064
93_14,6615
93_15,3082
93_16,6570
93_17,8400
93_18,11997
93_19,8640
93_20,6972
93_21,3009
93_22,4646
93_23,3328
93_24,4116
93_25,5088
8_1,30290
8_2,43460
8_3,9790
8_4,24139
45_1,10556
45_2,10209
45_3,9775
45_4,9310
45_5,16851
45_6,9546
45_7,7812
45_8,14145
45_9,11440
45_10,5616
45_11,16029
45_12,5070
45_13,9204
45_14,3116
45_15,4100
45_16,4704
45_17,9540
45_18,16402
45_19,6720
45_20,2610
45_21,9520
45_22,6528
45_23,6360
78_1,7560
78_2,8058
78_3,7200
78_4,6762
78_5,6608
78_6,6716
78_7,7931
78_8,4500
78_9,9180
78_10,5916
78_11,4920
78_12,10735
78_13,3717
78_14,3600
78_15,7296
78_16,2508
78_17,15500
78_18,2592
78_19,5616
78_20,3731
78_21,7632
78_22,1932
78_23,3550
78_24,7548
78_25,10580
75_1,2756
75_2,2408
75_3,4307
75_4,2544
75_5,3819
75_6,2156
75_7,3350
75_8,4422
75_9,2244
75_10,1632
75_11,2668
75_12,3564
75_13,3120
75_14,2852
75_15,4872
75_16,2583
75_17,1554
75_18,3025
104_1,12635
104_2,10488
104_3,15744
104_4,14820
104_5,12342
104_6,5698
104_7,10578
104_8,3520
104_9,11097
104_10,10092
104_11,4575
104_12,13516
104_13,6808
104_14,9048
104_15,9153
104_16,6461
104_17,8736
104_18,9379
104_19,3782
104_20,18358
104_21,3526
104_22,3245
104_23,3484
104_24,3180
104_25,1768
80_1,5395
80_2,4320
80_3,2538
80_4,3500
80_5,5656
80_6,3904
80_7,3675
80_8,4118
80_9,2070
80_10,3542
80_11,3111
80_12,3243
80_13,3102
80_14,3105
80_15,2494
80_16,3575
80_17,3294
80_18,2209
80_19,1855
80_20,3192
80_21,1508
105_1,17112
105_2,24402
105_3,22842
105_4,16899
105_5,16614
105_6,15770
105_7,10152
105_8,4030
105_9,10965
105_10,22570
105_11,14892
105_12,11234
105_13,13447
105_14,15180
105_15,12644
105_16,7644
105_17,3905
105_18,10767
105_19,4399
113_1,3660
113_2,3312
113_3,2208
113_4,4968
113_5,2967
113_6,3245
113_7,2726
113_8,3922
113_9,2537
113_10,2856
113_11,2070
113_12,2538
113_13,1681
113_14,1247
113_15,2112
113_16,1904
113_17,2210
117_1,2650
117_2,2832
117_3,2530
117_4,3528
117_5,2912
117_6,3016
117_7,3332
117_8,2244
117_9,2142
117_10,1312
117_11,2585
117_12,2655
117_13,992
117_14,2900
117_15,3172
117_16,2392
117_17,2860
117_18,2132
117_19,1820
117_20,1960
117_21,676
57_1,8667
57_2,9500
57_3,6561
57_4,9434
57_5,11236
57_6,8184
57_7,9860
57_8,6534
57_9,7380
57_10,5460
57_11,7476
57_12,6552
