ID,Area
93_1,12430
93_2,10368
93_3,5096
93_4,7168
93_5,13794
93_6,6003
93_7,8280
93_8,7316
93_9,6466
93_10,7448
93_11,13221
93_12,11070
93_13,8008
93_14,9879
93_15,11210
93_16,11610
93_17,6336
93_18,2970
93_19,6695
93_20,14136
93_21,3828
93_22,7776
8_1,30523
8_2,45123
8_3,9990
45_1,10738
45_2,9860
45_3,9405
45_4,10540
45_5,7936
45_6,9265
45_7,16988
45_8,13520
45_9,14280
45_10,9546
45_11,8550
45_12,15930
45_13,5616
45_14,4636
45_15,3225
45_16,7200
45_17,2408
45_18,4387
78_1,7875
78_2,8000
78_3,4897
78_4,8320
78_5,7371
78_6,9288
78_7,7968
78_8,4752
78_9,7426
78_10,6693
78_11,3564
78_12,5916
78_13,10640
78_14,2508
78_15,2346
75_1,3828
75_2,2808
75_3,2597
75_4,2464
75_5,4489
75_6,4320
75_7,3400
75_8,2640
75_9,3072
75_10,1598
75_11,2805
75_12,3876
75_13,3283
75_14,2064
75_15,4214
104_1,5700
104_2,12864
104_3,8772
104_4,3658
104_5,4500
104_6,13970
104_7,10614
104_8,12688
104_9,10695
104_10,3584
104_11,10396
104_12,11152
104_13,15996
104_14,7470
104_15,6643
104_16,13375
104_17,6390
104_18,10112
104_19,19320
104_20,8700
104_21,9072
104_22,3200
104_23,3080
78_16,6840
78_17,3904
78_18,15621
78_19,6391
80_1,4312
80_2,5412
80_3,3900
80_4,2650
80_5,4060
80_6,3648
80_7,3570
80_8,2552
80_9,3111
80_10,3675
80_11,3008
80_12,5600
80_13,3618
80_14,3240
80_15,3360
80_16,3245
80_17,1872
80_18,2205
80_19,2025
80_20,4161
80_21,3555
80_22,7519
105_1,16605
105_2,17160
105_3,16779
105_4,23166
105_5,22940
105_6,24402
105_7,11180
105_8,13685
105_9,13248
105_10,4030
105_11,15840
105_12,10070
105_13,15038
113_1,3312
113_2,3149
113_3,3782
113_4,3304
113_5,2632
113_6,4970
113_7,2160
113_8,3996
113_9,2494
113_10,2538
113_11,2856
113_12,2116
113_13,1320
113_14,2070
113_15,2405
117_1,3528
117_2,2912
117_3,3332
117_4,2484
117_5,2989
117_6,2688
117_7,3294
117_8,3074
117_9,2958
117_10,2655
117_11,2652
117_12,2346
117_13,2200
117_14,2250
117_15,2744
117_16,2080
117_17,700
117_18,1260
117_19,1386
117_20,1485
117_21,1054
117_22,1980
57_1,8640
57_2,9595
57_3,8091
57_4,11236
57_5,6642
57_6,10030
57_7,6732
57_8,8645
57_9,9646
57_10,7298
57_11,5612
57_12,6461
57_13,7200
57_14,10368
57_15,8856
57_16,4930
57_17,2414
57_18,4884
57_19,5616
57_20,2064
57_21,9345
112_1,3843
112_2,3900
112_3,3564
112_4,3904
112_5,2928
112_6,4800
112_7,3584
112_8,3416
112_9,2915
112_10,2704
112_11,3304
112_12,2340
112_13,2250
112_14,2365
112_15,2091
112_16,1886
112_17,1452
112_18,7392
111_1,4161
111_2,5110
111_3,4060
111_4,4248
111_5,3843
111_6,2209
111_7,3904
111_8,2070
111_9,3472
111_10,3400
111_11,2736
111_12,3416
111_13,2745
111_14,2597
111_15,2862
111_16,2090
111_17,8322
111_18,2052
111_19,2079
93_23,3009
93_24,6372
93_25,5115
40_1,7469
40_2,11340
40_3,11808
40_4,8614
40_5,10266
40_6,5900
40_7,7412
40_8,5096
40_9,8550
40_10,11008
40_11,8804
40_12,3240
40_13,14220
40_14,10062
40_15,13677
40_16,5824
40_17,8510
40_18,9125
40_19,2460
26_1,13923
26_2,10200
