ID,Area
93_1,9906
93_2,5896
93_3,7192
93_4,12430
93_5,10858
93_6,4664
93_7,8165
93_8,8137
93_9,11136
93_10,9156
93_11,7056
93_12,6426
93_13,11817
93_14,6552
93_15,6408
93_16,2970
93_17,11868
93_18,6889
93_19,7668
93_20,3009
93_21,4646
93_22,4059
8_1,30160
8_2,42987
8_3,9990
8_4,24960
45_1,10292
45_2,10556
45_3,9744
45_4,9408
45_5,16728
45_6,9546
45_7,7749
45_8,14152
45_9,11550
45_10,9009
45_11,5688
45_12,5304
45_13,3237
45_14,15660
45_15,9523
45_16,4141
45_17,4620
45_18,16940
45_19,7296
45_20,2610
45_21,10320
45_22,7980
45_23,8280
78_1,7665
78_2,7979
78_3,7290
78_4,7000
78_5,9072
78_6,6496
78_7,7931
78_8,4752
78_9,6324
78_10,4897
78_11,5848
78_12,7392
78_13,3645
78_14,10735
78_15,3654
78_16,2451
78_17,15375
78_18,2592
75_1,2756
75_2,4248
75_3,2408
75_4,2544
75_5,3876
75_6,4356
75_7,3400
75_8,2156
75_9,3120
75_10,2580
75_11,1518
75_12,2250
75_13,3564
75_14,4988
75_15,3080
75_16,2944
104_1,12730
104_2,15872
104_3,10488
104_4,12221
104_5,10492
104_6,14560
104_7,5775
104_8,11234
104_9,6900
104_10,3520
104_11,10208
104_12,13764
104_13,4636
104_14,8755
104_15,9153
104_16,6390
104_17,3782
104_18,7470
104_19,9379
104_20,3485
104_21,3186
80_1,5395
80_2,4094
80_3,3500
80_4,3840
80_5,3675
80_6,2544
80_7,5768
80_8,4047
80_9,3465
80_10,3290
80_11,3149
80_12,3111
80_13,2070
80_14,3195
80_15,3640
80_16,2552
80_17,3465
80_18,3190
105_1,17125
105_2,17160
105_3,22701
105_4,24549
105_5,16380
105_6,23125
105_7,10573
105_8,14847
105_9,16032
105_10,15318
105_11,4092
105_12,10965
105_13,13680
105_14,11316
105_15,12519
113_1,3721
113_2,3312
113_3,4896
113_4,3245
113_5,3900
113_6,3015
113_7,2162
113_8,2576
113_9,2494
113_10,2856
113_11,2484
113_12,2070
