ID,Area
93_1,9906
93_2,5829
93_3,12317
93_4,7134
93_5,4664
93_6,10858
93_7,8165
93_8,7056
93_9,11020
93_10,8034
93_11,9072
93_12,6363
93_13,11948
93_14,3082
93_15,6615
93_16,11904
93_17,8964
93_18,6408
93_19,6688
93_20,7632
93_21,3009
93_22,4646
93_23,3328
93_24,4116
93_25,5088
8_1,43560
8_2,30756
8_3,9790
8_4,24378
45_1,10440
45_2,10209
45_3,9310
45_4,9744
45_5,16851
45_6,11550
45_7,9398
45_8,7688
45_9,5616
45_10,15912
45_11,5148
45_12,13915
45_13,9048
45_14,4141
45_15,3192
45_16,4620
45_17,12096
45_18,9434
45_19,18104
45_20,7000
45_21,2610
45_22,9794
45_23,6592
45_24,8500
78_1,7560
78_2,7956
78_3,7200
78_4,6860
78_5,6496
78_6,8988
78_7,6440
78_8,4838
78_9,4410
78_10,8112
78_11,5762
78_12,10246
78_13,3645
78_14,3654
78_15,7347
78_16,2508
78_17,15624
78_18,2544
78_19,5840
78_20,3608
78_21,7738
78_22,1886
78_23,8181
78_24,5247
75_1,2756
75_2,2464
75_3,4248
75_4,2544
75_5,3819
75_6,2156
75_7,3400
75_8,4422
75_9,2580
75_10,2295
75_11,1632
75_12,3608
75_13,3120
75_14,2944
75_15,2583
75_16,5192
75_17,3080
75_18,1591
104_1,12635
104_2,10283
104_3,12221
104_4,14690
104_5,10492
104_6,5772
104_7,3465
104_8,11016
104_9,6825
104_10,15744
104_11,10005
104_12,13516
104_13,4636
104_14,8670
104_15,9072
104_16,6370
104_17,8550
104_18,3660
104_19,9266
104_20,3526
104_21,3190
104_22,3111
104_23,2014
80_1,4136
80_2,5330
80_3,2538
80_4,3450
80_5,3626
80_6,5656
80_7,3843
80_8,4118
80_9,3542
80_10,2070
80_11,3290
80_12,3111
80_13,3149
80_14,3150
80_15,3520
80_16,2552
80_17,2256
80_18,3233
80_19,1855
80_20,3190
80_21,1664
105_1,17262
105_2,22983
105_3,17028
105_4,16497
105_5,24382
105_6,15770
105_7,10355
105_8,4030
105_9,10965
105_10,15038
105_11,22940
105_12,13447
105_13,11234
105_14,14904
105_15,12644
105_16,7566
105_17,11424
105_18,3905
113_1,3720
113_2,3240
113_3,2208
113_4,3245
113_5,4968
113_6,2967
113_7,3848
113_8,2726
113_9,2537
113_10,2754
113_11,2070
113_12,2538
113_13,1681
113_14,1247
113_15,2112
113_16,1972
113_17,1885
117_1,2650
117_2,2832
117_3,2530
117_4,3465
117_5,2912
117_6,3332
117_7,3016
117_8,2142
117_9,2244
117_10,2585
117_11,3120
117_12,1312
117_13,2900
117_14,2655
117_15,992
117_16,2392
117_17,2808
117_18,2132
117_19,1820
117_20,1960
117_21,676
57_1,8667
57_2,9500
57_3,11130
57_4,8091
57_5,6561
57_6,9434
57_7,10115
57_8,7470
57_9,6534
57_10,7476
57_11,5551
57_12,6480
57_13,7100
57_14,10295
57_15,3528
57_16,6375
57_17,4810
57_18,1160
57_19,2556
57_20,6666
57_21,4374
57_22,10701
57_23,3654
112_1,3510
112_2,3780
112_3,2867
112_4,3843
112_5,4636
112_6,3528
112_7,3843
112_8,2704
112_9,2912
112_10,3410
