ID,Area
93_1,5829
93_2,9906
93_3,12317
93_4,7134
93_5,4664
93_6,10858
93_7,8165
93_8,7056
93_9,8137
93_10,11020
93_11,8964
93_12,6363
93_13,11832
93_14,3036
93_15,6615
93_16,6408
93_17,11776
93_18,6525
93_19,7704
93_20,4646
93_21,3009
93_22,4116
93_23,3264
93_24,5035
93_25,2184
8_1,30160
8_2,43296
8_3,9790
8_4,33120
45_1,10440
45_2,10086
45_3,9310
45_4,9744
45_5,16728
45_6,9398
45_7,11440
45_8,7564
45_9,5616
45_10,13915
45_11,15660
45_12,5148
45_13,9048
45_14,3237
45_15,4141
45_16,9434
45_17,6776
45_18,16422
45_19,4620
45_20,2523
45_21,9794
45_22,6592
45_23,8600
45_24,6426
78_1,7560
78_2,7878
78_3,7200
78_4,6762
78_5,6384
78_6,6348
78_7,4410
78_8,8988
78_9,7931
78_10,4838
78_11,5762
78_12,10246
78_13,3645
78_14,3654
78_15,7392
78_16,2508
78_17,15500
78_18,2592
78_19,5688
78_20,3526
78_21,7455
78_22,7332
78_23,5247
78_24,8282
75_1,2756
75_2,2464
75_3,4248
75_4,2544
75_5,3819
75_6,3400
75_7,2156
75_8,4356
75_9,2580
75_10,2295
75_11,1632
75_12,3564
75_13,3120
75_14,2944
75_15,5133
75_16,2583
75_17,3080
75_18,1554
104_1,12635
104_2,10283
104_3,12221
104_4,14690
104_5,15621
104_6,10492
104_7,5698
104_8,3465
104_9,11016
104_10,6734
104_11,10005
104_12,13516
104_13,4636
104_14,8670
104_15,9072
104_16,6300
104_17,9379
104_18,8280
104_19,3599
104_20,3526
104_21,3132
104_22,3315
104_23,3111
80_1,4183
80_2,5330
80_3,2538
80_4,3500
80_5,3626
80_6,3843
80_7,5656
80_8,4118
80_9,3465
80_10,2070
80_11,3290
80_12,3111
80_13,3102
80_14,3150
80_15,2552
80_16,3520
80_17,3233
80_18,2209
80_19,1855
80_20,3190
105_1,17125
105_2,22842
105_3,16896
105_4,24402
105_5,16356
105_6,15865
105_7,10246
105_8,3965
105_9,10965
105_10,22940
105_11,15038
105_12,13334
105_13,15042
105_14,11234
105_15,12412
105_16,7566
105_17,3905
105_18,11322
113_1,3660
113_2,3240
113_3,2162
113_4,3245
113_5,4896
113_6,3848
113_7,2967
113_8,2679
113_9,2537
113_10,2805
113_11,2070
113_12,2484
113_13,1681
113_14,1247
113_15,2112
113_16,1904
117_1,2650
117_2,2832
117_3,2530
117_4,3465
117_5,2912
117_6,3332
117_7,3016
117_8,2142
117_9,2244
117_10,2585
117_11,1280
117_12,3120
117_13,2900
117_14,2655
117_15,992
117_16,2392
117_17,2808
117_18,2132
117_19,1820
117_20,1960
117_21,676
57_1,8667
57_2,9500
57_3,11130
57_4,6561
57_5,8091
57_6,9434
57_7,10115
57_8,6534
57_9,7380
57_10,7387
57_11,5460
57_12,6390
57_13,7100
57_14,10224
57_15,3528
57_16,6375
57_17,4810
57_18,6565
57_19,1160
57_20,2485
57_21,4266
57_22,10614
112_1,3510
112_2,3717
112_3,2820
112_4,3904
112_5,4636
112_6,3528
112_7,3843
112_8,2704
112_9,2860
112_10,3410
112_11,2550
112_12,1672
112_13,3422
112_14,2320
112_15,1530
112_16,2173
112_17,2070
112_18,1560
112_19,1368
112_20,1855
111_1,3920
111_2,4307
111_3,5040
111_4,3780
111_5,3906
111_6,4047
111_7,3283
111_8,2070
111_9,3009
111_10,2700
111_11,3472
111_12,3465
111_13,2209
111_14,2052
111_15,2756
111_16,2600
111_17,1612
111_18,1776
111_19,2106
111_20,930
45_25,5412
93_26,5278
40_1,11562
40_2,10440
40_3,7488
40_4,8687
40_5,8322
40_6,11340
40_7,5684
