ID,Area
93_1,6160
93_2,12099
93_3,9954
93_4,5187
93_5,11102
93_6,8510
93_7,8374
93_8,10904
93_9,7068
93_10,3149
93_11,6426
93_12,7410
93_13,6565
93_14,12180
93_15,8925
93_16,8480
93_17,12480
93_18,6862
93_19,7055
93_20,7980
93_21,4554
93_22,13888
93_23,3180
93_24,2301
93_25,5830
93_26,3417
93_27,14157
8_1,31647
8_2,28248
8_3,9504
8_4,25200
8_5,16362
8_6,38468
45_1,10235
45_2,9604
45_3,16470
45_4,10044
45_5,9775
45_6,9288
45_7,11550
45_8,5530
45_9,14384
45_10,8000
45_11,5005
45_12,9523
45_13,12642
45_14,8769
45_15,16472
45_16,4040
45_17,3403
45_18,8112
45_19,5002
45_20,6572
45_21,7540
45_22,12075
45_23,2436
45_24,6732
45_25,13029
78_1,8944
78_2,7665
78_3,9010
78_4,6716
78_5,7200
78_6,6930
78_7,10640
78_8,8295
78_9,6549
78_10,5780
78_11,5084
78_12,4646
78_13,7030
78_14,4032
78_15,2451
78_16,3760
78_17,13176
78_18,5885
78_19,5925
78_20,2548
78_21,3692
78_22,4606
78_23,5400
75_1,4380
75_2,3808
75_3,2058
75_4,2754
75_5,2451
75_6,2544
75_7,4422
75_8,3400
75_9,1632
75_10,2684
75_11,2200
75_12,3520
75_13,2961
75_14,900
75_15,4582
75_16,2835
75_17,1512
75_18,2560
75_19,2800
104_1,12960
104_2,5700
104_3,10648
104_4,14690
104_5,10304
104_6,12300
104_7,10005
104_8,11152
104_9,3584
104_10,6808
104_11,4440
104_12,15000
104_13,3780
104_14,8961
104_15,6461
104_16,12625
104_17,8099
104_18,9288
104_19,9085
104_20,19320
104_21,3393
104_22,3186
104_23,4002
104_24,6720
80_1,5248
80_2,4272
80_3,2544
80_4,5700
80_5,3840
80_6,3450
80_7,3920
80_8,2025
80_9,3504
80_10,3196
80_11,3068
80_12,3111
80_13,2494
80_14,3496
80_15,3105
80_16,3249
80_17,3264
80_18,1908
80_19,2162
80_20,3575
80_21,1428
105_1,17408
105_2,16974
105_3,14454
105_4,9555
105_5,22620
105_6,21600
105_7,17255
105_8,14946
105_9,14659
105_10,22101
105_11,4030
105_12,11136
105_13,11433
105_14,13095
105_15,12765
105_16,9288
105_17,7068
105_18,8265
113_1,4828
113_2,3660
113_3,2162
113_4,2622
113_5,3266
113_6,3975
113_7,2494
113_8,3363
113_9,3036
113_10,1980
113_11,2805
113_12,2068
113_13,1640
113_14,1290
113_15,2464
113_16,1815
113_17,2166
117_1,2600
117_2,3584
117_3,2856
117_4,2726
117_5,2484
117_6,2585
117_7,3264
117_8,2150
117_9,2958
117_10,1280
