Iteration,Mean Absolute Error (MAE)
0,1.084033613445378
1,1.084033613445378
3,7.722689075630252
4,7.722689075630252
5,5.722689075630252
6,8.722689075630251
7,1.084033613445378
8,1.084033613445378
6,1.4621848739495797
7,1.4621848739495797
8,2.277310924369748
9,2.277310924369748
0,3.277310924369748
1,3.277310924369748

0,3.277310924369748
1,3.277310924369748
2,3.277310924369748
3,4.277310924369748
4,4.277310924369748
5,4.277310924369748
