ModelID,Accuracy,Iteration
0,0.0035244920496243226,0
0,0.0035244920496243226,1
0,0.016279539690542633,2
0,0.03826766340014042,3
0,0.13005149003363134,4
0,0.16132911033247618,5
0,0.36096826034238316,6
0,0.6214738052768489,7
0,0.7186402385127051,8

0,0.06116439707243034,2
0,0.16578569445298066,3
0,0.41914820209222725,4
0,0.6943146684527498,5
0,0.7216017966440288,6
0,0.7216017966440288,7
0,0.6797597145777604,8
0,0.6905738147580583,9
0,0.6982950553204906,0
0,0.6982950553204906,1

0,0.7242421770561667,0
0,0.7242421770561667,1
0,0.7362136921404404,2
0,0.7357010251771391,3
0,0.7258656597239594,4
0,0.725453386777763,5
