ModelID,Accuracy,Iteration
0,0.22289374306102766,0
0,0.47751393889270144,1
0,0.5528542416266868,2
0,0.7070301478573914,3
0,0.744703115504953,4
0,0.7757834184938752,5
0,0.7849895139220693,6
0,0.8114652307540278,7
0,0.8229582693976235,8

0,0.47751393889270144,2
0,0.653298752535037,3
0,0.7327270153543894,4
0,0.7750975401051816,5
0,0.7991603730889704,6
0,0.8295539093878747,7
0,0.8427758006837767,8
0,0.8427758006837767,9
0,0.8211587372090683,0
0,0.8509391559135684,1

0,0.8764040310439766,0
0,0.8758110816291078,1
0,0.8564834786283873,2
0,0.8775519334814602,3
0,0.8891090298564958,4
0,0.887048632198777,5
