                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0925,                0.80887,                 1.1079,                 0.9224,                0.85455,                0.93398,                 0.6101,                  1.212,                0.86637,                 1.2357,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0689,                0.81686,                 1.0643,                0.89348,                0.87715,                0.93591,                0.61823,                 1.2187,                0.86121,                 1.2461,               0.000614,               0.000614,               0.000614
                     37,                 1.0861,                0.76492,                 1.0502,                0.85643,                0.90196,                 0.9255,                0.58529,                 1.2752,                 0.8865,                 1.2816,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0938,                0.80174,                 1.0774,                0.85175,                0.90124,                0.91241,                0.56989,                 1.3085,                0.91218,                 1.3025,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0945,                0.81945,                 1.0701,                0.83726,                0.89542,                0.91217,                0.57456,                 1.2934,                0.89982,                 1.2924,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0708,                0.80039,                  1.077,                0.86113,                0.89165,                0.92456,                 0.5927,                 1.2542,                0.86148,                 1.2632,              0.0004556,              0.0004556,              0.0004556
                     41,                0.96955,                0.71778,                 1.0374,                0.91774,                0.87582,                0.93068,                0.60566,                 1.2208,                0.85317,                 1.2347,               0.000416,               0.000416,               0.000416
                     42,                 0.9924,                0.77369,                 1.0051,                0.89855,                0.87582,                0.92888,                0.61185,                 1.2198,                0.85898,                 1.2333,              0.0003764,              0.0003764,              0.0003764
                     43,                0.93379,                 0.6905,                 1.0076,                0.90288,                0.86928,                0.92435,                0.61283,                  1.224,                0.86068,                  1.244,              0.0003368,              0.0003368,              0.0003368
                     44,                0.96241,                0.69663,                 1.0239,                0.89054,                0.85621,                0.92336,                0.61177,                 1.2212,                0.86733,                 1.2472,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.9822,                0.72051,                 1.0263,                0.86605,                0.88741,                0.91667,                0.60067,                 1.2311,                0.87357,                 1.2528,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.9558,                0.70014,                 1.0276,                0.88689,                0.86928,                0.91752,                0.59993,                 1.2367,                0.88262,                  1.261,               0.000218,               0.000218,               0.000218
                     47,                0.92003,                0.67437,                 1.0013,                0.88013,                0.86379,                0.91336,                0.59009,                 1.2394,                0.89066,                 1.2603,              0.0001784,              0.0001784,              0.0001784
                     48,                0.93257,                0.67711,                0.99203,                0.92141,                0.84288,                0.91681,                0.58942,                 1.2409,                 0.8888,                 1.2597,              0.0001388,              0.0001388,              0.0001388
                     49,                0.91726,                0.68376,                 1.0082,                0.91645,                0.84314,                0.91862,                0.58973,                  1.234,                0.88276,                 1.2588,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.91191,                0.66565,                 1.0157,                0.91492,                0.84342,                0.92014,                0.59041,                 1.2277,                0.87541,                 1.2564,               5.96e-05,               5.96e-05,               5.96e-05
