                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1178,                0.76321,                 1.0537,                0.82524,                0.86603,                0.91703,                0.58983,                 1.1964,                0.83428,                 1.1477,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1374,                0.78167,                 1.1202,                0.83768,                0.87081,                  0.921,                0.58872,                  1.216,                0.80906,                 1.1505,               0.000614,               0.000614,               0.000614
                     37,                 1.1206,                0.73095,                 1.1059,                0.85699,                0.86364,                0.92173,                0.59479,                 1.2179,                0.80425,                 1.1437,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0816,                0.73423,                 1.0935,                 0.8635,                0.84689,                0.92193,                0.59167,                 1.2216,                0.80358,                 1.1432,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1075,                0.71311,                 1.0775,                0.86309,                0.84928,                  0.921,                0.59119,                 1.2159,                0.79957,                 1.1404,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1112,                0.71212,                 1.0923,                 0.8707,                0.84928,                0.91977,                0.58998,                 1.2068,                0.80907,                 1.1308,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0545,                0.73609,                 1.0522,                0.87032,                0.84689,                0.91911,                0.58553,                 1.2319,                0.82819,                 1.1348,               0.000416,               0.000416,               0.000416
                     42,                 1.0602,                0.68803,                 1.0553,                0.87238,                0.82775,                0.90448,                0.55975,                  1.302,                0.92616,                 1.1623,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0413,                0.68488,                 1.0532,                0.85376,                0.83797,                0.91155,                0.58011,                 1.2618,                0.89734,                 1.1462,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0492,                0.67958,                 1.0586,                0.85831,                0.85407,                0.92688,                0.59903,                 1.1985,                0.79149,                 1.1259,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0156,                0.65617,                 1.0577,                0.87464,                0.85124,                0.92881,                 0.6003,                 1.1953,                0.77578,                 1.1275,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0237,                0.65286,                 1.0418,                0.84053,                0.88517,                0.92705,                0.60022,                 1.2029,                 0.7676,                   1.13,               0.000218,               0.000218,               0.000218
                     47,                 1.0123,                0.64971,                  1.047,                0.84878,                0.88756,                0.92887,                0.59987,                  1.215,                0.77416,                 1.1332,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0116,                0.63141,                 1.0371,                0.84827,                0.88271,                0.92775,                0.60014,                 1.2137,                0.77506,                 1.1331,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0094,                0.64763,                 1.0543,                0.85486,                0.88278,                0.93052,                0.60007,                 1.2068,                0.76847,                 1.1327,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0088,                0.64392,                 1.0472,                0.85414,                0.88255,                0.93009,                0.60419,                 1.1951,                0.76064,                 1.1301,               5.96e-05,               5.96e-05,               5.96e-05
