                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5884,                 1.0801,                 1.3432,                0.80331,                0.64676,                0.74832,                0.37879,                  1.811,                 1.2909,                 1.5119,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.5784,                 1.0674,                 1.3467,                0.76878,                0.64235,                0.73258,                 0.3632,                 1.8253,                 1.2663,                 1.5136,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5832,                 1.0392,                 1.3369,                0.80681,                0.64651,                0.75214,                0.37861,                 1.8043,                 1.2193,                 1.5012,               0.000614,               0.000614,               0.000614
                     37,                 1.5114,                  1.001,                 1.2939,                 0.7773,                0.65833,                0.75372,                0.37955,                 1.8137,                 1.1727,                 1.4941,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.5238,                0.98666,                 1.3022,                0.76886,                0.67972,                0.75259,                0.37308,                 1.8408,                 1.1668,                 1.4979,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5479,                 1.0047,                 1.3183,                0.78396,                0.67972,                0.77287,                0.38862,                 1.8137,                 1.1225,                 1.4831,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.5092,                0.97628,                 1.2791,                0.80621,                 0.6726,                0.77057,                0.38047,                 1.8071,                  1.137,                 1.4852,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4757,                0.99471,                 1.3316,                0.78825,                0.68683,                0.76142,                0.37457,                 1.8339,                 1.1715,                  1.501,               0.000416,               0.000416,               0.000416
                     42,                  1.467,                0.97482,                  1.297,                0.82116,                 0.6781,                0.77309,                 0.3877,                 1.7988,                  1.153,                 1.4694,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.453,                0.95185,                  1.302,                0.78348,                0.67616,                 0.7686,                0.38175,                 1.8194,                 1.1606,                 1.4932,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4252,                0.94397,                 1.2868,                0.83973,                0.64769,                0.77794,                0.39089,                 1.7769,                  1.166,                 1.4788,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4386,                0.94266,                 1.3077,                0.82746,                0.66192,                0.78297,                0.39326,                 1.7809,                 1.1562,                 1.4799,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4042,                0.91599,                 1.2814,                 0.8413,                0.66548,                0.79222,                0.39742,                 1.7834,                 1.1186,                 1.4711,               0.000218,               0.000218,               0.000218
                     47,                  1.388,                0.90455,                 1.2513,                0.78307,                0.69573,                0.78725,                0.39206,                 1.7942,                 1.1101,                 1.4671,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3987,                0.91105,                 1.2702,                0.80808,                0.70423,                0.79729,                0.39527,                 1.7883,                 1.1034,                 1.4604,              0.0001388,              0.0001388,              0.0001388
                     49,                  1.368,                0.88359,                 1.2516,                 0.8338,                0.68861,                0.79639,                0.39432,                 1.7891,                 1.1017,                 1.4615,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3954,                0.91342,                 1.2618,                0.81304,                0.69929,                0.78939,                0.39399,                 1.7904,                  1.102,                 1.4614,               5.96e-05,               5.96e-05,               5.96e-05
