                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6424,                  3.641,                 1.3655,                0.01375,                 0.6875,                0.04849,                0.02204,                 1.2549,                 3.4476,                  1.185,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.3058,                 2.4164,                 1.0795,                0.02238,                0.52083,                0.42506,                0.22634,                 1.2272,                 2.9513,                 1.0172,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.2027,                 1.4431,                 1.0739,                0.93798,                0.21008,                0.51166,                0.26303,                 1.2083,                 2.8957,                 1.0119,             0.00032654,             0.00032654,             0.00032654
                      4,                 1.1381,                 1.2971,                 1.0234,                0.01708,                0.85417,                0.34976,                0.19058,                 1.1954,                 2.9539,                   1.02,             0.00043268,             0.00043268,             0.00043268
                      5,                 1.0978,                 1.1921,                 1.0243,                 0.0175,                  0.875,                0.17036,                0.07535,                 1.2131,                   2.97,                 1.0659,             0.00053406,             0.00053406,             0.00053406
                      6,                 1.1148,                 1.0998,                  1.033,                0.01472,                0.73611,                0.11285,                0.07519,                 1.3495,                 3.1519,                 1.2124,              0.0006307,              0.0006307,              0.0006307
                      7,                 1.1055,                 1.0328,                 1.0271,                0.01375,                 0.6875,                0.04285,                0.02247,                 1.5021,                 3.2258,                 1.3602,             0.00072258,             0.00072258,             0.00072258
                      8,                 1.0454,                 1.0714,                 1.0334,                0.08162,                0.04167,                 0.0463,                0.02927,                 1.3615,                 3.0553,                 1.2427,             0.00080972,             0.00080972,             0.00080972
                      9,                  1.095,                 1.1025,                 1.0496,                      1,                0.11283,                0.51467,                0.35824,                 1.2388,                 2.8102,                 1.1271,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.0737,                0.96737,                 1.0246,                      1,                0.16807,                0.61606,                0.42809,                 1.2347,                 2.6209,                 1.1091,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.0598,                0.95183,                 1.0088,                0.99455,                 0.3125,                0.71142,                0.48771,                 1.1922,                 2.3531,                 1.0836,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.0277,                0.92891,                0.99997,                0.97036,                0.45466,                0.63958,                0.42598,                 1.2113,                 2.3201,                 1.0963,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.0467,                0.92594,                 1.0197,                 0.9203,                0.52778,                0.69301,                0.47285,                  1.174,                 2.1758,                 1.0647,              0.0011741,              0.0011741,              0.0011741
                     14,                 1.0946,                0.93178,                 1.0353,                0.95765,                0.48611,                0.74285,                0.46176,                  1.263,                 2.2188,                 1.1029,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.0481,                0.94708,                 1.0322,                0.95971,                0.49632,                0.74919,                0.51139,                 1.1691,                 2.1301,                  1.047,              0.0012866,              0.0012866,              0.0012866
                     16,                 1.0845,                0.90489,                 1.0212,                0.93575,                0.80909,                0.88785,                0.59436,                 1.1057,                 1.4816,                 1.0108,              0.0013357,              0.0013357,              0.0013357
                     17,                0.96876,                0.86068,                 1.0136,                0.92596,                0.80556,                0.89012,                0.59633,                 1.1191,                 1.4183,                  1.006,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0475,                0.87457,                  1.012,                0.93768,                0.83585,                0.91881,                 0.6385,                 1.0895,                 1.2593,                0.99742,              0.0013268,              0.0013268,              0.0013268
                     19,                0.99088,                0.82692,                0.99805,                0.95611,                0.88889,                0.94183,                0.65768,                 1.0622,                 1.1454,                0.98844,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0135,                0.81285,                0.98514,                 0.9134,                0.87893,                0.93372,                 0.6355,                 1.0973,                 1.1751,                 1.0103,              0.0012476,              0.0012476,              0.0012476
                     21,                 0.9762,                0.84828,                 1.0031,                0.91169,                0.84722,                0.90985,                 0.6384,                 1.0797,                 1.2544,                 1.0098,               0.001208,               0.001208,               0.001208
                     22,                0.93311,                0.81353,                 1.0038,                0.94094,                0.88514,                0.93963,                0.67892,                0.99905,                 0.9452,                0.98035,              0.0011684,              0.0011684,              0.0011684
                     23,                0.92188,                 0.8162,                0.99921,                0.94435,                0.88194,                0.94102,                0.68516,                 1.0028,                0.91606,                0.98002,              0.0011288,              0.0011288,              0.0011288
                     24,                0.93691,                0.76552,                0.97448,                0.96453,                0.90972,                0.95363,                0.68319,                 1.0158,                0.89152,                0.99422,              0.0010892,              0.0010892,              0.0010892
                     25,                0.95804,                0.78525,                0.99153,                 0.9365,                0.90972,                0.94949,                0.67365,                 1.0184,                0.90914,                0.99098,              0.0010496,              0.0010496,              0.0010496
                     26,                0.89929,                0.76708,                 0.9843,                 0.9569,                0.92503,                0.95984,                 0.6695,                 1.0224,                0.88924,                0.99464,                0.00101,                0.00101,                0.00101
                     27,                0.94529,                0.75744,                 0.9713,                0.94328,                 0.9375,                0.96224,                0.67347,                 1.0269,                 0.8514,                0.99655,              0.0009704,              0.0009704,              0.0009704
                     28,                0.87996,                0.70625,                0.95572,                  0.966,                0.92361,                0.96173,                0.68064,                0.96701,                0.81725,                0.97126,              0.0009308,              0.0009308,              0.0009308
                     29,                0.87203,                0.72209,                0.95751,                0.97445,                0.91667,                0.96483,                0.68608,                0.97367,                0.80529,                0.97969,              0.0008912,              0.0008912,              0.0008912
                     30,                0.88582,                0.75524,                0.96225,                0.93702,                0.92989,                0.94547,                0.69141,                0.95553,                0.81751,                0.95422,              0.0008516,              0.0008516,              0.0008516
                     31,                0.93059,                0.72542,                 0.9632,                0.95729,                0.93397,                0.95521,                0.69689,                0.95277,                0.80177,                0.95679,               0.000812,               0.000812,               0.000812
                     32,                0.86897,                0.71292,                0.95587,                0.98235,                0.92361,                0.96142,                0.69722,                0.93619,                0.78848,                0.95665,              0.0007724,              0.0007724,              0.0007724
                     33,                0.83991,                0.70486,                0.95501,                0.98498,                0.91059,                0.95153,                0.68797,                0.94631,                0.80019,                0.96019,              0.0007328,              0.0007328,              0.0007328
                     34,                0.80485,                0.68404,                0.94473,                0.97097,                0.92893,                0.95008,                0.69455,                0.95185,                 0.7788,                0.97926,              0.0006932,              0.0006932,              0.0006932
                     35,                0.85716,                 0.7051,                0.92644,                0.96828,                0.94444,                0.95829,                0.69676,                0.95557,                0.76327,                0.98524,              0.0006536,              0.0006536,              0.0006536
                     36,                0.81919,                0.68445,                 0.9304,                0.96945,                 0.9375,                0.95334,                0.70147,                0.91249,                0.75457,                0.96708,               0.000614,               0.000614,               0.000614
                     37,                0.82437,                0.67753,                0.93647,                0.97046,                0.92361,                0.94624,                 0.6952,                0.90917,                0.75965,                0.96648,              0.0005744,              0.0005744,              0.0005744
                     38,                0.83442,                0.68622,                0.93391,                  0.971,                0.93001,                0.95332,                0.68305,                0.96339,                0.75055,                0.99045,              0.0005348,              0.0005348,              0.0005348
                     39,                0.84404,                0.68371,                0.94398,                0.96916,                0.93056,                0.95759,                0.68966,                0.93765,                0.74357,                0.97177,              0.0004952,              0.0004952,              0.0004952
                     40,                0.80594,                0.70813,                0.94764,                0.97793,                0.92327,                0.95872,                0.70026,                0.91796,                0.74457,                0.97036,              0.0004556,              0.0004556,              0.0004556
                     41,                0.76712,                 0.6761,                0.94772,                0.96125,                0.93056,                0.95902,                0.70556,                0.91727,                0.73977,                0.97005,               0.000416,               0.000416,               0.000416
                     42,                0.78139,                0.65541,                0.92151,                0.95858,                0.92361,                0.94677,                0.69365,                0.94585,                0.73839,                0.97151,              0.0003764,              0.0003764,              0.0003764
                     43,                0.78056,                0.64455,                0.93113,                0.96002,                0.92361,                0.94469,                0.69442,                0.94129,                0.73559,                0.96593,              0.0003368,              0.0003368,              0.0003368
                     44,                0.73078,                0.63574,                0.92448,                  0.978,                0.92594,                0.95986,                0.69361,                 0.9439,                0.71548,                 0.9764,              0.0002972,              0.0002972,              0.0002972
                     45,                0.70579,                0.62714,                0.90194,                0.98536,                0.93481,                0.95896,                0.69787,                0.93254,                0.70687,                0.97177,              0.0002576,              0.0002576,              0.0002576
                     46,                0.72025,                0.63023,                0.90473,                0.97114,                 0.9375,                0.95911,                0.70014,                0.91101,                0.70579,                0.95609,               0.000218,               0.000218,               0.000218
                     47,                0.73013,                0.63149,                0.91211,                0.97112,                0.93423,                0.95878,                0.69587,                0.91003,                0.70688,                0.95743,              0.0001784,              0.0001784,              0.0001784
                     48,                0.67816,                0.60725,                0.90225,                0.97889,                 0.9375,                0.95912,                0.70473,                0.91543,                0.71329,                0.96604,              0.0001388,              0.0001388,              0.0001388
                     49,                0.72031,                0.61953,                0.89653,                0.97749,                 0.9375,                0.95936,                0.70254,                0.91883,                 0.7086,                 0.9698,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.68235,                0.60625,                0.90793,                0.97747,                 0.9375,                0.95891,                 0.7017,                0.91969,                 0.6973,                0.97034,               5.96e-05,               5.96e-05,               5.96e-05
