                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5352,                 3.2971,                 1.3724,                 0.0398,                0.96209,                0.17422,                0.10377,                  1.271,                 2.9772,                 1.1598,                0.00014,                0.00014,                0.00014
                      2,                 1.3642,                 1.7842,                 1.1522,                0.79106,                0.50237,                0.65392,                0.35737,                 1.2942,                 2.1309,                 1.0834,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.2916,                 1.3628,                 1.1631,                0.90918,                0.56931,                 0.7879,                0.47234,                 1.3042,                 1.9145,                 1.1078,             0.00044178,             0.00044178,             0.00044178
                      4,                 1.3058,                 1.2014,                 1.1499,                      1,                0.41449,                0.82939,                0.49263,                 1.2468,                 2.1377,                 1.1143,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.2746,                 1.2222,                 1.1876,                0.94886,                0.65403,                0.84786,                0.50084,                 1.2939,                 1.8959,                  1.169,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.2705,                 1.6144,                 1.2167,                0.93963,                0.61611,                 0.8337,                0.48903,                 1.3046,                 1.9267,                 1.1663,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.3342,                 1.1724,                 1.2222,                0.91521,                0.76737,                0.87162,                 0.5111,                 1.3363,                 1.6223,                 1.2059,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.3618,                 1.1181,                 1.2321,                0.88486,                0.80569,                0.89201,                0.54662,                 1.3138,                 1.2922,                 1.1887,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.2367,                 1.0875,                 1.1648,                0.87404,                0.81043,                0.88794,                0.54965,                 1.2677,                 1.2922,                  1.157,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.2094,                0.99375,                 1.1321,                0.84554,                0.81043,                0.89595,                0.54528,                  1.321,                 1.1237,                 1.2049,              0.0012984,              0.0012984,              0.0012984
                     11,                 1.2719,                 1.0032,                 1.1697,                0.86058,                0.83412,                0.90491,                0.56642,                 1.2499,                 1.0477,                 1.1783,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.2284,                0.98423,                 1.1842,                0.86922,                0.85049,                0.91564,                   0.55,                 1.3018,                 0.9938,                 1.2452,              0.0014862,              0.0014862,              0.0014862
                     13,                 1.2248,                0.97728,                   1.14,                0.86798,                0.87244,                0.91713,                0.56918,                 1.2719,                 1.0079,                 1.1969,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1901,                 0.9424,                  1.115,                0.87176,                0.82464,                0.91725,                0.56235,                 1.2748,                0.97318,                  1.207,              0.0014852,              0.0014852,              0.0014852
                     15,                   1.22,                0.94444,                  1.138,                0.85015,                0.88626,                   0.93,                0.58111,                 1.2747,                0.91158,                 1.2018,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1477,                0.96996,                 1.1384,                0.86062,                0.87678,                0.94083,                0.59733,                 1.2692,                0.89958,                 1.1973,               0.001406,               0.001406,               0.001406
