ModelID,Accuracy,Iteration
0,0.25027832759648355,0
0,0.5526720019191552,0
0,0.6974249740784796,0
0,0.7181451857061365,0
0,0.7181451857061365,1
0,0.7421733344615669,0
0,0.7421733344615669,1
0,0.7608254598906184,2
0,0.7702529868754702,3
0,0.7819496805866559,4
0,0.7896554737642052,5
0,0.7961677666834205,6
0,0.7921437822082307,7
0,0.7934279643727563,8
0,0.7949844362095075,9
0,0.8091511787864506,0
0,0.8091511787864506,1
0,0.814986817837892,2
0,0.8171259738807605,3
0,0.8164862826735748,4
0,0.8164862826735748,5
0,0.8259278831960705,7
0,0.8311796489825433,8
0,0.828564645775099,9
