ID,Area
16_1,6328
16_2,6324
16_3,5265
16_4,4515
16_5,4066
16_6,4998
16_7,4005
16_8,3600
16_9,4830
16_10,5704
16_11,3520
16_12,3465
16_13,2808
16_14,2916
16_15,4810
16_16,2592
16_17,3344
16_18,5568
16_19,5264
111_1,3654
111_2,3780
111_3,3190
111_4,3192
111_5,3245
111_6,3540
111_7,4080
111_8,1428
111_9,2183
111_10,3111
111_11,2205
111_12,1664
111_13,2448
111_14,2016
7_1,39270
7_2,36267
34_1,4118
34_2,3120
34_3,4880
34_4,2627
34_5,3484
34_6,2867
34_7,3922
34_8,3577
34_9,2772
34_10,2680
34_11,3569
34_12,3666
34_13,2464
34_14,4539
34_15,2160
34_16,5616
34_17,2660
34_18,3596
108_1,3960
108_2,4216
108_3,2784
108_4,2464
108_5,3375
108_6,4032
108_7,3021
108_8,2968
108_9,2907
108_10,3248
108_11,3770
108_12,1980
108_13,2700
108_14,2115
108_15,1961
108_16,1764
18_1,4601
18_2,3237
18_3,3162
18_4,3838
18_5,3348
18_6,2574
18_7,3002
18_8,2790
18_9,3060
18_10,3060
18_11,3069
18_12,2205
67_1,6020
67_2,5742
67_3,7344
67_4,6400
67_5,7546
67_6,9196
67_7,7303
67_8,4216
67_9,7519
67_10,7938
67_11,1600
67_12,3038
67_13,4758
67_14,5934
67_15,9400
67_16,5476
67_17,3000
103_1,11610
103_2,12470
103_3,8932
103_4,12558
103_5,17554
103_6,13818
103_7,14111
103_8,16218
103_9,5700
103_10,3895
103_11,16958
103_12,13455
103_13,10100
103_14,11424
103_15,8036
103_16,5168
103_17,5334
103_18,11583
35_1,6464
35_2,6580
35_3,7107
35_4,2701
35_5,7866
35_6,8640
35_7,6162
35_8,2990
35_9,8560
35_10,4970
35_11,9675
35_12,10230
35_13,10332
35_14,6768
35_15,11484
35_16,7189
35_17,2970
35_18,6525
35_19,7387
35_20,4592
35_21,6716
35_22,2009
35_23,1209
35_24,5913
35_25,1344
