ID,Area
93_1,12100
93_2,4752
93_3,10033
93_4,6003
93_5,7316
93_6,11193
93_7,6552
93_8,10260
93_9,7104
93_10,8550
93_11,12285
93_12,3149
93_13,8162
93_14,6324
93_15,4004
93_16,12314
93_17,8136
93_18,6806
93_19,9010
93_20,6734
93_21,4074
93_22,5184
93_23,2262
93_24,3432
93_25,16872
93_26,3068
93_27,7178
8_1,31122
8_2,44422
8_3,14352
8_4,9328
8_5,28080
8_6,29889
45_1,8060
45_2,9920
45_3,10647
45_4,9702
45_5,14030
45_6,9344
45_7,16226
45_8,9690
45_9,11760
45_10,4141
45_11,9646
45_12,8664
45_13,8216
45_14,15180
45_15,5609
45_16,16675
45_17,4042
45_18,4940
45_19,2610
45_20,7344
78_1,6930
78_2,7084
78_3,9265
78_4,7665
78_5,8240
78_6,7280
78_7,8034
78_8,5916
78_9,10640
78_10,6549
78_11,4661
78_12,3476
78_13,7488
78_14,4500
78_15,2508
78_16,3906
78_17,2592
78_18,4002
78_19,6478
78_20,5565
78_21,15128
78_22,5775
78_23,1886
78_24,3450
75_1,2754
75_2,2107
75_3,3819
75_4,2544
75_5,4248
75_6,1632
75_7,3468
75_8,4556
75_9,2668
75_10,2244
75_11,2464
75_12,3008
75_13,2914
75_14,3440
75_15,841
75_16,2560
75_17,4814
75_18,1554
104_1,13056
104_2,10416
104_3,14560
104_4,9240
104_5,5776
104_6,12480
104_7,10120
104_8,6900
104_9,9460
104_10,11424
104_11,13640
104_12,10769
104_13,4914
104_14,15006
104_15,3782
104_16,3591
104_17,6696
104_18,8736
104_19,9196
104_20,3654
104_21,3190
104_22,19734
104_23,1908
104_24,2772
78_25,3720
78_26,3249
80_1,2585
80_2,4320
80_3,5600
80_4,5395
80_5,2070
80_6,3904
80_7,3500
80_8,3431
80_9,3312
80_10,3196
80_11,3510
80_12,3990
80_13,2436
80_14,2156
80_15,1961
80_16,3675
80_17,3192
80_18,3016
80_19,3060
80_20,3465
80_21,1350
80_22,1638
105_1,23635
105_2,9483
105_3,16731
105_4,15096
105_5,15770
105_6,17024
105_7,21780
105_8,23430
105_9,16974
105_10,10332
105_11,15207
105_12,11040
105_13,4092
105_14,12768
105_15,11978
105_16,7050
105_17,9768
113_1,3036
113_2,2736
113_3,3312
113_4,2552
113_5,5037
113_6,3720
113_7,4050
113_8,2209
113_9,3245
113_10,1980
113_11,1290
113_12,2451
113_13,1815
113_14,2912
113_15,2160
113_16,1722
117_1,2650
117_2,2530
117_3,2784
117_4,3068
117_5,3283
117_6,2244
117_7,2912
117_8,1353
117_9,2640
117_10,1054
117_11,2150
117_12,3584
117_13,2760
117_14,2475
117_15,3111
117_16,3016
117_17,2704
117_18,2214
117_19,676
57_1,11449
57_2,8667
57_3,6566
57_4,9860
57_5,10094
57_6,7917
57_7,6806
57_8,9450
57_9,5551
57_10,8265
57_11,7740
57_12,6480
57_13,10368
57_14,7300
57_15,6375
57_16,3384
57_17,5025
57_18,3654
57_19,1230
57_20,6666
57_21,10788
57_22,4408
57_23,1452
57_24,2555
112_1,2867
112_2,3696
112_3,3843
112_4,4788
112_5,3968
112_6,2756
112_7,3021
112_8,2600
112_9,3705
112_10,3843
112_11,1395
112_12,3648
112_13,1710
112_14,3304
112_15,2214
112_16,2378
112_17,2070
112_18,728
112_19,1444
112_20,1560
112_21,2256
111_1,4292
111_2,4118
111_3,2116
111_4,5183
111_5,3843
111_6,3528
111_7,2162
