ID,Area
93_1,11880
93_2,4752
93_3,10033
93_4,5916
93_5,7192
93_6,10980
93_7,6489
93_8,10080
93_9,6930
93_10,8436
93_11,12064
93_12,3102
93_13,7725
93_14,6161
93_15,12220
93_16,4004
93_17,7952
93_18,6806
93_19,8820
93_20,6660
93_21,4074
93_22,5035
93_23,2204
93_24,3366
93_25,16837
93_26,5684
8_1,30989
8_2,44088
8_3,14168
8_4,27336
8_5,9135
8_6,32319
45_1,7936
45_2,9702
45_3,9594
45_4,10556
45_5,13673
45_6,9144
45_7,16104
45_8,9690
45_9,11655
45_10,8588
45_11,4100
45_12,9630
45_13,15207
45_14,5538
45_15,16272
45_16,3956
45_17,8137
45_18,4864
45_19,2666
45_20,8037
45_21,3360
78_1,6930
78_2,7560
78_3,9072
78_4,7176
78_5,8137
78_6,7854
78_7,7189
78_8,5916
78_9,10640
78_10,6438
78_11,4582
78_12,3476
78_13,7392
78_14,2508
78_15,3906
78_16,4455
78_17,2544
78_18,6478
78_19,4002
78_20,15125
78_21,1886
78_22,3249
78_23,3660
78_24,3350
78_25,5824
75_1,2754
75_2,2107
75_3,3819
75_4,2544
75_5,4248
75_6,4355
75_7,3468
75_8,1632
75_9,2244
75_10,2464
75_11,2668
75_12,2852
75_13,2820
75_14,3440
75_15,2520
75_16,841
75_17,4756
75_18,1517
75_19,1599
104_1,12920
104_2,10416
104_3,14577
104_4,9048
104_5,5852
104_6,12480
104_7,10032
104_8,6975
104_9,9350
104_10,13516
104_11,10527
104_12,4620
104_13,11288
104_14,14641
104_15,3782
104_16,3528
104_17,6696
104_18,8827
104_19,9348
104_20,3612
104_21,3132
104_22,4988
104_23,19596
104_24,1855
104_25,2772
104_26,1075
80_1,2538
80_2,4320
80_3,5600
80_4,5395
80_5,3384
80_6,3450
80_7,2025
80_8,3843
80_9,3312
80_10,3196
80_11,3864
80_12,3388
80_13,3525
80_14,2156
80_15,2436
80_16,3136
80_17,2964
80_18,1944
80_19,3060
80_20,3410
80_21,1325
105_1,23490
105_2,9396
105_3,16731
105_4,15456
105_5,16896
105_6,15198
105_7,23288
105_8,21901
105_9,16714
105_10,10332
105_11,4092
105_12,15255
105_13,10902
105_14,12543
105_15,11978
105_16,9990
113_1,3266
113_2,2736
113_3,4968
113_4,3599
113_5,4050
113_6,2552
113_7,2992
113_8,2162
113_9,3245
113_10,2408
113_11,2025
113_12,1290
113_13,1815
113_14,2912
113_15,2115
113_16,1681
117_1,2784
117_2,2650
117_3,2530
117_4,3332
117_5,3068
117_6,2912
117_7,3528
117_8,1054
117_9,2244
117_10,1386
117_11,2592
117_12,2150
117_13,2385
117_14,3050
117_15,2773
117_16,2907
117_17,2600
117_18,2173
117_19,676
57_1,11449
57_2,8480
57_3,6566
57_4,9991
57_5,9660
57_6,7826
57_7,9345
57_8,6723
57_9,7740
57_10,5400
57_11,8272
57_12,7200
57_13,6480
57_14,10368
57_15,6500
57_16,3337
57_17,5628
57_18,5025
57_19,6565
57_20,3717
57_21,1230
57_22,10701
57_23,1452
112_1,2867
112_2,3843
112_3,4712
112_4,3575
112_5,3968
112_6,2756
112_7,3648
112_8,3843
112_9,2499
112_10,3591
112_11,2964
112_12,1710
112_13,3480
112_14,1395
112_15,2378
112_16,2255
112_17,2070
112_18,1444
112_19,728
112_20,1560
111_1,4292
111_2,4118
111_3,5183
111_4,3843
111_5,3264
111_6,2070
111_7,4176
111_8,2162
111_9,3528
111_10,2760
111_11,3968
111_12,1696
111_13,2793
111_14,2124
111_15,3591
111_16,2915
111_17,2601
111_18,1020
111_19,2145
111_20,1824
111_21,2090
45_22,11036
45_23,6930
93_27,7150
93_28,2958
93_29,3420
40_1,11039
40_2,11834
40_3,8750
40_4,8833
40_5,9875
40_6,10614
40_7,8550
40_8,13348
40_9,5076
40_10,7623
40_11,5700
40_12,10179
40_13,6298
40_14,6678
40_15,13923
40_16,3078
40_17,2340
40_18,8436
40_19,8190
40_20,8449
26_1,5880
26_2,11960
26_3,8322
26_4,9999
26_5,5325
26_6,5805
26_7,9964
26_8,3927
26_9,12198
26_10,5192
26_11,13338
26_12,3392
26_13,8330
26_14,5037
26_15,3404
26_16,1911
26_17,4836
26_18,4067
26_19,4416
26_20,8208
26_21,2948
26_22,2604
26_23,6794
26_24,7623
26_25,3339
26_26,3471
26_27,3773
106_1,9912
106_2,7820
106_3,16014
106_4,11620
106_5,13904
106_6,12276
106_7,12008
106_8,14145
106_9,13770
106_10,17157
106_11,17271
106_12,8800
106_13,17316
106_14,8586
106_15,13490
106_16,4425
106_17,14960
106_18,5723
106_19,7857
106_20,7850
106_21,12375
106_22,11016
106_23,5253
83_1,3944
83_2,3828
83_3,4620
83_4,2640
83_5,4347
83_6,4288
83_7,4125
83_8,4950
83_9,3422
83_10,3740
83_11,3420
83_12,3248
83_13,2914
83_14,3740
83_15,4864
83_16,2006
83_17,1887
83_18,1610
83_19,1215
83_20,2288
103_1,18656
103_2,17880
103_3,8217
103_4,11856
103_5,9310
103_6,11834
103_7,13563
103_8,5022
103_9,9555
103_10,21209
103_11,15300
103_12,5893
103_13,8134
103_14,15029
103_15,15147
103_16,11648
103_17,11662
103_18,12193
103_19,9156
103_20,3626
103_21,5772
103_22,1404
103_23,11448
103_24,2200
103_25,8460
60_1,8322
60_2,6466
60_3,8284
60_4,4988
60_5,9424
60_6,6324
60_7,7630
60_8,11125
60_9,10170
60_10,5830
60_11,7182
60_12,7056
60_13,7770
60_14,2107
60_15,3000
60_16,5605
60_17,4032
60_18,3315
60_19,3190
115_1,5200
115_2,4416
115_3,5742
115_4,4455
115_5,4880
115_6,4026
115_7,6045
115_8,7020
115_9,6862
115_10,3726
115_11,4312
115_12,2808
115_13,3136
115_14,2808
115_15,2491
115_16,2226
115_17,2784
115_18,2990
115_19,2728
115_20,2024
