ID,Area
93_1,11990
93_2,4752
93_3,10033
93_4,6003
93_5,7316
93_6,11316
93_7,6489
93_8,10170
93_9,6993
93_10,8436
93_11,12180
93_12,3149
93_13,6324
93_14,8085
93_15,4048
93_16,12314
93_17,8362
93_18,6806
93_19,9010
93_20,6808
93_21,4074
93_22,5184
93_23,2242
93_24,3432
93_25,16758
93_26,3009
93_27,5488
93_28,7326
8_1,44088
8_2,31122
8_3,14352
8_4,9328
8_5,27810
8_6,30861
8_7,16848
45_1,7936
45_2,9717
45_3,9506
45_4,10647
45_5,13794
45_6,9344
45_7,16226
45_8,9690
45_9,9540
45_10,11760
45_11,8588
45_12,4141
45_13,8216
45_14,5609
45_15,15568
45_16,16302
45_17,3956
45_18,2610
45_19,5016
45_20,7590
45_21,3444
45_22,6930
45_23,10560
78_1,6930
78_2,7084
78_3,9156
78_4,7632
78_5,7280
78_6,7931
78_7,8137
78_8,5916
78_9,10640
78_10,6549
78_11,4661
78_12,7488
78_13,3476
78_14,4500
78_15,2475
78_16,3906
78_17,2592
78_18,4130
78_19,6478
78_20,5512
78_21,15128
78_22,3381
78_23,3249
78_24,1886
78_25,1189
78_26,5830
78_27,4828
75_1,2754
75_2,2107
75_3,2544
75_4,3752
75_5,1632
75_6,3468
75_7,4248
75_8,4488
75_9,2244
75_10,2668
75_11,2961
75_12,2520
75_13,841
75_14,2820
75_15,2520
75_16,3440
75_17,4956
75_18,1554
75_19,1312
104_1,13056
104_2,10416
104_3,14690
104_4,9152
104_5,5852
104_6,10120
104_7,12480
104_8,6900
104_9,9460
104_10,11424
104_11,13875
104_12,15006
104_13,10648
104_14,4914
104_15,3782
104_16,3591
104_17,6768
104_18,9394
104_19,9016
104_20,3872
104_21,3245
104_22,1908
104_23,19734
104_24,2772
104_25,1100
104_26,13289
80_1,2585
80_2,5700
80_3,4320
80_4,5395
80_5,2070
80_6,3384
80_7,3510
80_8,3450
80_9,3843
80_10,3360
80_11,2436
80_12,3196
80_13,2156
80_14,3990
80_15,3192
80_16,1998
80_17,3600
80_18,3150
80_19,2912
80_20,3465
80_21,1350
80_22,1716
105_1,9396
105_2,23635
105_3,16731
105_4,15770
105_5,15347
105_6,17292
105_7,23430
105_8,10414
105_9,21780
105_10,16974
105_11,11040
105_12,14580
105_13,4092
105_14,12768
105_15,11648
105_16,9657
105_17,7315
105_18,4144
105_19,14652
113_1,2552
113_2,2736
113_3,2967
113_4,3312
113_5,2162
113_6,5037
113_7,4050
113_8,3720
113_9,1290
113_10,2025
113_11,1815
113_12,3190
113_13,2451
113_14,2912
113_15,2115
113_16,1722
117_1,2650
117_2,2784
117_3,2530
117_4,3068
117_5,2244
117_6,3283
117_7,1054
117_8,1386
117_9,2592
117_10,2150
117_11,2964
117_12,3584
117_13,2820
117_14,2430
117_15,3111
117_16,2704
117_17,3016
117_18,2214
117_19,676
117_20,1591
117_21,1722
117_22,1476
57_1,11449
57_2,6566
57_3,8667
57_4,10094
57_5,9660
57_6,10440
57_7,7917
57_8,9450
57_9,6724
57_10,7728
57_11,5551
57_12,7128
57_13,6643
57_14,8272
57_15,6500
57_16,3337
57_17,5092
57_18,5780
57_19,3717
57_20,1271
57_21,6666
57_22,10701
57_23,1452
57_24,2555
112_1,2867
112_2,3696
112_3,3843
112_4,4788
112_5,4030
112_6,2964
112_7,2756
112_8,2600
112_9,1395
112_10,3648
112_11,3843
112_12,1710
112_13,3648
112_14,3304
112_15,2255
112_16,2378
112_17,2070
112_18,1444
112_19,728
112_20,1600
111_1,4292
111_2,4118
111_3,2116
111_4,5183
111_5,2162
111_6,3843
111_7,3528
111_8,2806
111_9,3264
111_10,4176
111_11,2695
111_12,1696
111_13,4032
111_14,2088
111_15,2970
111_16,1020
111_17,2145
111_18,3591
111_19,2601
111_20,1824
111_21,1998
111_22,1248
45_24,8216
93_29,3420
40_1,12054
40_2,11172
40_3,8750
40_4,8833
40_5,10000
40_6,8664
40_7,13442
40_8,10736
40_9,5005
40_10,5757
40_11,7623
40_12,10179
40_13,6298
40_14,6678
40_15,14014
40_16,3078
40_17,2340
40_18,8436
40_19,8449
26_1,12064
26_2,6042
26_3,8510
26_4,5472
26_5,9999
26_6,5848
26_7,10165
26_8,12528
26_9,3927
26_10,5280
26_11,13920
26_12,8330
26_13,3392
26_14,4968
26_15,4914
26_16,3713
26_17,2000
26_18,4018
26_19,8393
26_20,4371
26_21,2646
26_22,2992
26_23,6048
26_24,3510
26_25,3822
26_26,3392
26_27,1650
26_28,5796
26_29,5092
106_1,10115
106_2,7998
106_3,16274
106_4,11620
106_5,14151
106_6,12369
106_7,14145
106_8,14014
106_9,12080
106_10,17550
106_11,8991
106_12,17271
106_13,8774
106_14,15300
106_15,17464
106_16,4588
106_17,13632
106_18,5782
106_19,7872
106_20,8745
106_21,12726
106_22,11770
106_23,2184
106_24,5565
83_1,3944
83_2,2695
83_3,3886
83_4,4819
83_5,4410
83_6,4288
83_7,3975
83_8,4950
83_9,3248
83_10,3363
83_11,2772
83_12,3480
83_13,3024
83_14,3618
83_15,1824
83_16,4940
83_17,1188
83_18,2030
83_19,1610
83_20,2340
103_1,18762
103_2,8217
103_3,17880
103_4,12075
103_5,11956
103_6,9408
103_7,5115
103_8,13761
103_9,9646
103_10,15300
103_11,21209
103_12,15142
103_13,5822
103_14,15300
103_15,11536
103_16,8415
103_17,11466
103_18,12282
103_19,9156
103_20,5698
103_21,3577
103_22,11448
103_23,2200
103_24,1440
103_25,8836
103_26,1479
60_1,8322
60_2,6588
60_3,8284
60_4,5046
60_5,6324
60_6,9672
60_7,10170
60_8,7739
60_9,11214
60_10,5885
60_11,7296
60_12,7232
60_13,2107
60_14,7840
60_15,4032
60_16,3040
60_17,5760
60_18,3213
60_19,3135
60_20,1344
115_1,5346
115_2,4416
115_3,5742
115_4,4536
115_5,4880
115_6,4092
115_7,6862
115_8,6110
115_9,7110
115_10,2808
115_11,4235
115_12,2808
115_13,3726
115_14,2226
115_15,3250
115_16,2728
115_17,2444
115_18,2842
115_19,2990
115_20,2205
115_21,3283
115_22,10088
115_23,2478
115_24,5037
102_1,10608
102_2,10530
102_3,11648
102_4,8624
102_5,11011
102_6,10146
102_7,12104
102_8,9594
102_9,7931
102_10,12276
102_11,9016
102_12,7592
102_13,3655
102_14,1764
102_15,7700
102_16,3400
102_17,3564
102_18,1085
102_19,2898
102_20,2296
99_1,9796
99_2,11220
99_3,10486
99_4,9108
99_5,7770
99_6,10710
99_7,9804
99_8,9794
99_9,7104
99_10,10000
99_11,5555
99_12,9163
99_13,3906
99_14,8938
99_15,10488
99_16,3249
99_17,14659
99_18,6000
99_19,4686
99_20,2691
99_21,1375
99_22,2145
99_23,4686
99_24,2597
99_25,8004
99_26,3042
99_27,9744
99_28,4002
84_1,1760
84_2,3905
84_3,4288
84_4,3136
84_5,3780
84_6,3712
84_7,2652
84_8,3276
84_9,1760
84_10,2322
84_11,1443
84_12,4224
84_13,3658
84_14,1936
84_15,2900
84_16,4550
84_17,930
84_18,2597
84_19,748
84_20,2970
84_21,2772
84_22,3234
84_23,1248
84_24,1175
84_25,1848
84_26,2240
84_27,4154
84_28,1518
84_29,2352
84_30,1558
84_31,2538
84_32,1887
84_33,3575
84_34,1363
51_1,9216
51_2,8636
51_3,6400
51_4,6384
51_5,11583
51_6,3120
51_7,11374
51_8,5698
51_9,8484
51_10,6045
51_11,3552
51_12,6565
51_13,8137
51_14,3420
51_15,7068
51_16,8904
51_17,5390
51_18,3645
51_19,12626
51_20,6880
51_21,1700
51_22,7304
51_23,10541
51_24,11130
69_1,4648
69_2,3240
69_3,4425
69_4,6006
69_5,3696
69_6,3402
69_7,2548
69_8,5040
69_9,4355
69_10,5952
69_11,3286
69_12,2331
69_13,1840
69_14,1856
69_15,2800
69_16,3180
69_17,2790
69_18,2448
69_19,1276
96_1,9212
96_2,6750
96_3,8019
96_4,9844
96_5,7178
96_6,4928
96_7,5800
96_8,8316
96_9,9558
96_10,8281
96_11,7812
96_12,5842
96_13,7881
96_14,7107
96_15,1836
96_16,9991
96_17,8580
96_18,5900
96_19,4158
96_20,1935
96_21,6600
96_22,4171
96_23,1122
96_24,2001
96_25,2860
96_26,3180
96_27,4697
96_28,4840
96_29,11639
25_1,8938
25_2,4704
