ID,Area
16_1,6441
16_2,5400
16_3,6426
16_4,4558
16_5,5047
16_6,4004
16_7,5859
16_8,3600
16_9,3996
16_10,3731
16_11,2765
16_12,5152
16_13,3510
16_14,2988
16_15,4847
16_16,2310
16_17,5358
16_18,3420
16_19,6018
16_20,4602
111_1,3712
111_2,3306
111_3,3843
111_4,3300
111_5,4140
111_6,3540
111_7,3300
111_8,2205
111_9,1470
111_10,3348
111_11,2183
111_12,1683
111_13,2064
111_14,2508
111_15,2499
111_16,1584
111_17,2940
111_18,1554
111_19,3876
7_1,36897
7_2,36036
34_1,4960
34_2,4189
34_3,3657
34_4,3160
34_5,2736
34_6,2914
34_7,3975
34_8,2772
34_9,3700
34_10,2829
34_11,3901
34_12,3713
34_13,2464
34_14,4680
34_15,5840
34_16,2208
34_17,3717
34_18,1496
34_19,3843
34_20,2562
34_21,2442
34_22,2296
34_23,2632
34_24,1012
108_1,4026
108_2,2508
108_3,4216
108_4,4095
108_5,2891
108_6,3510
108_7,3078
108_8,3960
108_9,3078
108_10,2209
108_11,3363
108_12,2850
108_13,2035
108_14,2255
108_15,2014
108_16,2340
108_17,1849
108_18,2744
108_19,1200
18_1,4644
18_2,3276
18_3,3162
18_4,3978
18_5,2528
18_6,3348
18_7,2912
18_8,3002
18_9,3105
18_10,3196
18_11,3094
18_12,2304
18_13,2870
18_14,989
67_1,6192
67_2,6600
67_3,5874
67_4,7644
67_5,7344
67_6,9196
67_7,7480
67_8,7622
67_9,4347
67_10,3200
67_11,8019
67_12,6020
67_13,1681
67_14,9400
67_15,4819
67_16,5625
67_17,3050
67_18,2100
67_19,3763
67_20,1485
103_1,12410
103_2,12558
103_3,14157
103_4,11830
103_5,16524
103_6,18084
103_7,14700
103_8,9009
103_9,17625
103_10,5700
103_11,4032
103_12,14157
103_13,10692
103_14,11340
103_15,14946
103_16,5376
103_17,5520
103_18,12423
103_19,1440
103_20,4550
103_21,8282
35_1,6768
35_2,6666
35_3,2925
35_4,7140
35_5,7935
35_6,10126
35_7,6320
35_8,8881
35_9,8712
35_10,10545
35_11,10010
35_12,3149
35_13,11700
35_14,5112
35_15,7533
35_16,7008
35_17,7560
35_18,4956
35_19,6688
35_20,3136
35_21,6882
35_22,2100
35_23,1271
35_24,6068
35_25,1344
35_26,2112
