ID,Area
16_1,6554
16_2,5400
16_3,6426
16_4,4104
16_5,4664
16_6,5250
16_7,4095
16_8,3640
16_9,6016
16_10,3690
16_11,3666
16_12,5687
16_13,4847
16_14,2988
16_15,2808
16_16,6136
16_17,5472
16_18,3420
16_19,3003
111_1,3835
111_2,3306
111_3,3968
111_4,3360
111_5,4140
111_6,3416
111_7,3660
111_8,1470
111_9,2242
111_10,3402
111_11,2205
111_12,2552
111_13,2850
7_1,38480
7_2,36424
34_1,5022
34_2,4189
34_3,3200
34_4,3604
34_5,2736
34_6,3700
34_7,4200
34_8,4050
34_9,2914
34_10,2808
34_11,2829
34_12,3888
34_13,2565
34_14,4823
34_15,2254
34_16,4050
34_17,3843
34_18,3968
108_1,4026
108_2,4284
108_3,2622
108_4,4160
108_5,2940
108_6,3465
108_7,3078
108_8,4224
108_9,3078
108_10,3363
108_11,2907
108_12,2808
108_13,2090
108_14,2209
18_1,4752
18_2,3276
18_3,3162
18_4,3348
18_5,3978
18_6,2607
18_7,3150
18_8,3081
18_9,3003
18_10,3094
18_11,3230
18_12,2952
18_13,2340
67_1,6264
67_2,6630
67_3,5874
67_4,7452
67_5,9317
67_6,7644
67_7,4410
67_8,7840
67_9,7725
67_10,8118
67_11,9400
67_12,6160
67_13,3264
67_14,4898
67_15,1681
67_16,5550
67_17,3111
103_1,12556
103_2,11659
103_3,14355
103_4,12696
103_5,17056
103_6,17947
103_7,14840
103_8,17750
103_9,9204
103_10,5700
103_11,4365
103_12,15158
103_13,14160
103_14,11645
103_15,11124
103_16,13568
103_17,5418
103_18,8096
35_1,6768
35_2,6798
35_3,7280
35_4,8004
35_5,2925
35_6,9265
35_7,8712
35_8,6160
35_9,10292
35_10,9880
35_11,10434
35_12,5112
35_13,3149
35_14,7533
35_15,11700
35_16,7104
35_17,6688
35_18,7560
35_19,6956
35_20,3136
35_21,4956
35_22,2100
35_23,6068
35_24,1271
